No,Economy,Code,RI,RIG
189,Chad,TCD,Sub-Saharan Africa,1
190,Togo,TGO,Sub-Saharan Africa,1
202,Uganda,UGA,Sub-Saharan Africa,1
186,Seychelles,SYC,Sub-Saharan Africa,1
125,Maldives,MDV,South Asia,1
18,Bangladesh,BGD,South Asia,1
30,Bhutan,BTN,South Asia,1
90,India,IND,South Asia,1
114,Sri Lanka,LKA,South Asia,1
147,Nepal,NPL,South Asia,1
151,Pakistan,PAK,South Asia,1
2,Afghanistan,AFG,South Asia,1
25,Bermuda,BMU,North America,3
33,Canada,CAN,North America,3
205,United States,USA,North America,3
93,Iraq,IRQ,Middle East & North Africa,1
98,Jordan,JOR,Middle East & North Africa,1
109,Lebanon,LBN,Middle East & North Africa,1
111,Libya,LBY,Middle East & North Africa,1
52,Djibouti,DJI,Middle East & North Africa,1
56,Algeria,DZA,Middle East & North Africa,1
58,"Egypt, Arab Rep.",EGY,Middle East & North Africa,1
92,"Iran, Islamic Rep.",IRN,Middle East & North Africa,1
121,Morocco,MAR,Middle East & North Africa,1
162,West Bank and Gaza,PSE,Middle East & North Africa,1
197,Tunisia,TUN,Middle East & North Africa,1
187,Syrian Arab Republic,SYR,Middle East & North Africa,1
215,"Yemen, Rep.",YEM,Middle East & North Africa,1
6,United Arab Emirates,ARE,Middle East & North Africa,1
20,Bahrain,BHR,Middle East & North Africa,1
95,Israel,ISR,Middle East & North Africa,1
107,Kuwait,KWT,Middle East & North Africa,1
130,Malta,MLT,Middle East & North Africa,1
150,Oman,OMN,Middle East & North Africa,1
164,Qatar,QAT,Middle East & North Africa,1
168,Saudi Arabia,SAU,Middle East & North Africa,1
7,Argentina,ARG,Latin America & Caribbean,3
27,Brazil,BRA,Latin America & Caribbean,3
42,Colombia,COL,Latin America & Caribbean,3
45,Costa Rica,CRI,Latin America & Caribbean,3
46,Cuba,CUB,Latin America & Caribbean,3
53,Dominica,DMA,Latin America & Caribbean,3
55,Dominican Republic,DOM,Latin America & Caribbean,3
57,Ecuador,ECU,Latin America & Caribbean,3
78,Grenada,GRD,Latin America & Caribbean,3
80,Guatemala,GTM,Latin America & Caribbean,3
82,Guyana,GUY,Latin America & Caribbean,3
97,Jamaica,JAM,Latin America & Caribbean,3
112,St. Lucia,LCA,Latin America & Caribbean,3
126,Mexico,MEX,Latin America & Caribbean,3
152,Panama,PAN,Latin America & Caribbean,3
153,Peru,PER,Latin America & Caribbean,3
161,Paraguay,PRY,Latin America & Caribbean,3
180,Suriname,SUR,Latin America & Caribbean,3
207,St. Vincent and the Grenadines,VCT,Latin America & Caribbean,3
24,Belize,BLZ,Latin America & Caribbean,3
26,Bolivia,BOL,Latin America & Caribbean,3
84,Honduras,HND,Latin America & Caribbean,3
86,Haiti,HTI,Latin America & Caribbean,3
144,Nicaragua,NIC,Latin America & Caribbean,3
174,El Salvador,SLV,Latin America & Caribbean,3
1,Aruba,ABW,Latin America & Caribbean,3
10,Antigua and Barbuda,ATG,Latin America & Caribbean,3
21,"Bahamas, The",BHS,Latin America & Caribbean,3
28,Barbados,BRB,Latin America & Caribbean,3
36,Chile,CHL,Latin America & Caribbean,3
47,Curaçao,CUW,Latin America & Caribbean,3
48,Cayman Islands,CYM,Latin America & Caribbean,3
105,St. Kitts and Nevis,KNA,Latin America & Caribbean,3
120,St. Martin (French part),MAF,Latin America & Caribbean,3
158,Puerto Rico,PRI,Latin America & Caribbean,3
185,Sint Maarten (Dutch part),SXM,Latin America & Caribbean,3
188,Turks and Caicos Islands,TCA,Latin America & Caribbean,3
196,Trinidad and Tobago,TTO,Latin America & Caribbean,3
204,Uruguay,URY,Latin America & Caribbean,3
209,British Virgin Islands,VGB,Latin America & Caribbean,3
210,Virgin Islands (U.S.),VIR,Latin America & Caribbean,3
4,Albania,ALB,Europe & Central Asia,2
8,Armenia,ARM,Europe & Central Asia,2
13,Azerbaijan,AZE,Europe & Central Asia,2
19,Bulgaria,BGR,Europe & Central Asia,2
22,Bosnia and Herzegovina,BIH,Europe & Central Asia,2
23,Belarus,BLR,Europe & Central Asia,2
70,Georgia,GEO,Europe & Central Asia,2
100,Kazakhstan,KAZ,Europe & Central Asia,2
123,Moldova,MDA,Europe & Central Asia,2
128,North Macedonia,MKD,Europe & Central Asia,2
132,Montenegro,MNE,Europe & Central Asia,2
165,Romania,ROU,Europe & Central Asia,2
166,Russian Federation,RUS,Europe & Central Asia,2
177,Serbia,SRB,Europe & Central Asia,2
193,Turkmenistan,TKM,Europe & Central Asia,2
198,Turkey,TUR,Europe & Central Asia,2
214,Kosovo,XKX,Europe & Central Asia,2
102,Kyrgyz Republic,KGZ,Europe & Central Asia,2
192,Tajikistan,TJK,Europe & Central Asia,2
203,Ukraine,UKR,Europe & Central Asia,2
206,Uzbekistan,UZB,Europe & Central Asia,2
5,Andorra,AND,Europe & Central Asia,2
12,Austria,AUT,Europe & Central Asia,2
15,Belgium,BEL,Europe & Central Asia,2
34,Switzerland,CHE,Europe & Central Asia,2
35,Channel Islands,CHI,Europe & Central Asia,2
49,Cyprus,CYP,Europe & Central Asia,2
50,Czech Republic,CZE,Europe & Central Asia,2
51,Germany,DEU,Europe & Central Asia,2
54,Denmark,DNK,Europe & Central Asia,2
60,Spain,ESP,Europe & Central Asia,2
61,Estonia,EST,Europe & Central Asia,2
63,Finland,FIN,Europe & Central Asia,2
65,France,FRA,Europe & Central Asia,2
66,Faroe Islands,FRO,Europe & Central Asia,2
69,United Kingdom,GBR,Europe & Central Asia,2
72,Gibraltar,GIB,Europe & Central Asia,2
77,Greece,GRC,Europe & Central Asia,2
79,Greenland,GRL,Europe & Central Asia,2
85,Croatia,HRV,Europe & Central Asia,2
87,Hungary,HUN,Europe & Central Asia,2
89,Isle of Man,IMN,Europe & Central Asia,2
91,Ireland,IRL,Europe & Central Asia,2
94,Iceland,ISL,Europe & Central Asia,2
96,Italy,ITA,Europe & Central Asia,2
113,Liechtenstein,LIE,Europe & Central Asia,2
116,Lithuania,LTU,Europe & Central Asia,2
117,Luxembourg,LUX,Europe & Central Asia,2
118,Latvia,LVA,Europe & Central Asia,2
122,Monaco,MCO,Europe & Central Asia,2
145,Netherlands,NLD,Europe & Central Asia,2
146,Norway,NOR,Europe & Central Asia,2
157,Poland,POL,Europe & Central Asia,2
160,Portugal,PRT,Europe & Central Asia,2
175,San Marino,SMR,Europe & Central Asia,2
181,Slovak Republic,SVK,Europe & Central Asia,2
182,Slovenia,SVN,Europe & Central Asia,2
183,Sweden,SWE,Europe & Central Asia,2
9,American Samoa,ASM,East Asia & Pacific,1
37,China,CHN,East Asia & Pacific,1
64,Fiji,FJI,East Asia & Pacific,1
127,Marshall Islands,MHL,East Asia & Pacific,1
139,Malaysia,MYS,East Asia & Pacific,1
191,Thailand,THA,East Asia & Pacific,1
195,Tonga,TON,East Asia & Pacific,1
199,Tuvalu,TUV,East Asia & Pacific,1
67,"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,1
88,Indonesia,IDN,East Asia & Pacific,1
103,Cambodia,KHM,East Asia & Pacific,1
104,Kiribati,KIR,East Asia & Pacific,1
108,Lao PDR,LAO,East Asia & Pacific,1
131,Myanmar,MMR,East Asia & Pacific,1
133,Mongolia,MNG,East Asia & Pacific,1
154,Philippines,PHL,East Asia & Pacific,1
156,Papua New Guinea,PNG,East Asia & Pacific,1
172,Solomon Islands,SLB,East Asia & Pacific,1
194,Timor-Leste,TLS,East Asia & Pacific,1
211,Vietnam,VNM,East Asia & Pacific,1
212,Vanuatu,VUT,East Asia & Pacific,1
213,Samoa,WSM,East Asia & Pacific,1
11,Australia,AUS,East Asia & Pacific,1
29,Brunei Darussalam,BRN,East Asia & Pacific,1
81,Guam,GUM,East Asia & Pacific,1
83,"Hong Kong SAR, China",HKG,East Asia & Pacific,1
99,Japan,JPN,East Asia & Pacific,1
106,"Korea, Rep.",KOR,East Asia & Pacific,1
119,"Macao SAR, China",MAC,East Asia & Pacific,1
134,Northern Mariana Islands,MNP,East Asia & Pacific,1
141,New Caledonia,NCL,East Asia & Pacific,1
148,Nauru,NRU,East Asia & Pacific,1
149,New Zealand,NZL,East Asia & Pacific,1
155,Palau,PLW,East Asia & Pacific,1
163,French Polynesia,PYF,East Asia & Pacific,1
171,Singapore,SGP,East Asia & Pacific,1
200,"Taiwan, China",TWN,East Asia & Pacific,1
